序号,方案名称,牵头申报单位,方案类别,涉及行业
1,"云上无忧"网络安全保险服务方案,中国人民财产保险股份有限公司,企业类,云计算
2,"云网安心"云服务企业网络安全保险服务一体化解决方案,中国人寿财产保险股份有限公司,企业类,云计算
3,工业供应链网络安全保险服务方案,中国太平洋财产保险股份有限公司,企业类,工业供应链
4,"保险+服务+科技"网络风险解决方案,中国平安财产保险股份有限公司,企业类,综合
5,面向新兴融合应用场景的网络安全保险服务方案,中国人民财产保险股份有限公司,企业类,新兴融合
6,电信和互联网企业网络安全保险服务方案,中国大地财产保险股份有限公司,企业类,电信互联网
7,中再产险工业互联网企业网络安全保险服务方案,中国财产再保险有限责任公司,企业类,工业互联网
8,"金网安心"网络安全保险综合解决方案,中国人寿财产保险股份有限公司,企业类,综合
9,电信和互联网行业网络安全财产类保险服务方案,阳光财产保险股份有限公司,企业类,电信互联网
10,制造业企业网络安全保险服务方案,中国大地财产保险股份有限公司,企业类,制造业
11,"云安全及互联网平台运行安全"保险服务方案,中国信息通信研究院,企业类,云计算
12,大数据中心安全运营网络安全保险服务方案,中国大地财产保险股份有限公司,企业类,大数据中心
13,工业互联网网络安全保险服务方案,国家工业信息安全发展研究中心,企业类,工业互联网
14,车联网网络安全保险服务方案,复旦大学,企业类,车联网
15,智能网联汽车车险服务方案,北京启明星辰信息安全技术有限公司,企业类,智能网联汽车
16,车联网网络安全保险服务方案,中汽智联技术有限公司,企业类,车联网
17,普惠型网络安全保险服务,国科信安（宁波）数字科技有限公司,企业类,普惠型
18,"云保险"双层次组合保险服务方案,华泰保险经纪有限公司,企业类,云计算
19,电信和互联网网络安全保险解决方案,国任财产保险股份有限公司,企业类,电信互联网
20,金融行业网络安全保险服务方案,中国太平洋财产保险股份有限公司,企业类,金融
21,产业园区"数字安全保障险",中国人民财产保险股份有限公司,企业类,产业园区
22,医疗行业网络安全财产类保险服务方案,阳光财产保险股份有限公司,企业类,医疗
23,车联网网络安全保险服务方案,中国汽车工程研究院股份有限公司,企业类,车联网
24,电子商务网络安全保险综合解决方案,工业和信息化部电子第五研究所,企业类,电子商务
25,工业互联网网络安全保险解决方案,国任财产保险股份有限公司,企业类,工业互联网
26,新型电力系统网络安全保险专属服务方案,鼎和财产保险股份有限公司,企业类,能源电力
27,能源电力行业网络安全保险服务方案,英大泰和财产保险股份有限公司,企业类,能源电力
28,交通运输行业网络安全保险服务方案,北京源堡科技有限公司,企业类,交通运输
29,工业互联网网络安全保险服务方案,四川奇安旌服科技有限公司,企业类,工业互联网
30,面向工业互联网行业的网络安全保险服务方案,工业互联网创新中心（上海）有限公司,企业类,工业互联网
31,民航服务企业网络保险方案,广州民航信息技术有限公司,企业类,民航
32,金融企业网络安全保险服务方案,国任财产保险股份有限公司,企业类,金融
33,全国一体化大数据中心云安全能力平台能力保障险,四川能投亚信安全科技有限责任公司,企业类,大数据中心
34,医疗行业网络安全保险服务方案,江泰保险经纪股份有限公司,企业类,医疗
35,中小企业一站式网络安全保险智能服务方案,华泰保险经纪有限公司,企业类,中小企业
36,面向医疗行业的网络安全保险服务方案,广东省计算机信息网络安全协会,企业类,医疗
37,面向网络勒索保障方案的网络安全保险服务方案,北京天融信网络安全技术有限公司,产品服务类,勒索防护
38,网络安全终端（主机）防护类产品+网络安全保险方案,奇安信科技集团股份有限公司,产品服务类,终端安全
39,基于中国移动"元信任"安全防护的特色保险服务,中国移动通信集团有限公司,产品服务类,运营商
40,勒索防护+保险解决方案,国任财产保险股份有限公司,产品服务类,勒索防护
41,联通"抗D保"网络安全保险,联通数字科技有限公司,产品服务类,运营商
42,中再产险软件质量责任保险试点方案,中国财产再保险有限责任公司,产品服务类,软件质量
43,运营商特色的园区网络安全保险,中国移动通信集团江苏有限公司,产品服务类,园区
44,中小企业安全托管保险解决方案,深信服科技股份有限公司,产品服务类,安全托管
45,网络安全远程服务类产品+网络安全保险方案,奇安信科技集团股份有限公司,产品服务类,远程服务
46,电信和互联网企业网络安全保险产品配套服务,中华联合财产保险股份有限公司,产品服务类,电信互联网
47,数据防勒索保险服务,绿盟科技集团股份有限公司,产品服务类,勒索防护
48,网络安全产品配套网络安全保险服务方案,中国太平洋财产保险股份有限公司,产品服务类,网络安全产品
49,面向供应链安全的信息技术产品服务网络安全保险解决方案,永信至诚科技集团股份有限公司,产品服务类,供应链安全
